Module,Screen,Test Case,Steps,Expected Result,Pass/Fail,Notes
SPEAKERS TAB,Status Filter,Filter: Pending,Select "Pending" from status filter,Only speakers with incomplete info or no headshot shown,,
SPEAKERS TAB,Status Filter,Filter: Submitted,Select "Submitted" from status filter,Only speakers with info complete but card not approved shown,,
SPEAKERS TAB,Status Filter,Filter: Cards Approved,Select "Cards Approved" from status filter,Only speakers with approved card but not yet published shown,,
SPEAKERS TAB,Status Filter,Filter: Published,Select "Published" from status filter,Only published speakers shown,,
SPEAKERS TAB,Sort,Sort by Newest,Select "Newest" from sort,Speakers ordered newest first by creation date,,
SPEAKERS TAB,Sort,Sort by Oldest,Select "Oldest" from sort,Speakers ordered oldest first,,
SPEAKERS TAB,Sort,Sort by Name,Select "Name" from sort,Speakers ordered alphabetically by name,,
SPEAKERS TAB,Pagination,Pagination controls,With more speakers than page size; click next page,Next page of results loads; page indicator updates,,
ADD SPEAKER,Add Speaker Dialog,Dialog opens,Click "Add Speaker" button,Add Speaker dialog opens at step 1 (choose method),,
ADD SPEAKER,Add Speaker Dialog,Manual form — required fields,Leave name/email blank and click Create,Validation errors shown; speaker not created,,
ADD SPEAKER,Add Speaker Dialog,Duplicate email error,Enter an email that already exists for this event,Error message: speaker with this email already exists,,
ADD SPEAKER,Add Speaker Dialog,Create speaker successfully,Fill first name / last name / email and click Create,Speaker created; dialog moves to email step; speaker appears in list,,
ADD SPEAKER,Add Speaker Dialog,Email step — from name customisable,On email step; edit the From Name field,From Name field accepts input and updates,,
ADD SPEAKER,Add Speaker Dialog,Email step — from email customisable,Edit the From Email field,From Email field accepts valid email input,,
ADD SPEAKER,Add Speaker Dialog,Email step — reply-to customisable,Edit the Reply-To field,Reply-To field accepts valid email input,,
ADD SPEAKER,Add Speaker Dialog,Email step — intro/body customisable,Edit intro or closing text,Text area accepts edits; preview updates,,
ADD SPEAKER,Add Speaker Dialog,Send email,Click Send on the email step,Email sent to speaker; success feedback shown; dialog closes,,
ADD SPEAKER,Add Speaker Dialog,Skip email step,Click Skip / close on email step,Dialog closes without sending email; speaker still created,,
SPEAKER QUICK PANEL,Quick Panel,Opens from speaker row,Click a speaker row in the table,Quick panel slides open alongside the table,,
SPEAKER QUICK PANEL,Quick Panel,Info tab — details displayed,Open quick panel on any speaker,Speaker's name / email / company / title shown in Info tab,,
SPEAKER QUICK PANEL,Quick Panel,Speaker Card tab — preview loads,Click Speaker Card tab in quick panel,Card preview renders (iframe/embed from API),,
SPEAKER QUICK PANEL,Quick Panel,Social Card tab — preview loads,Click Social Card tab in quick panel,Social card preview renders,,
SPEAKER QUICK PANEL,Quick Panel,Speaker Wall tab — toggle visible,Click Speaker Wall tab in quick panel,Toggle showing whether speaker is published to wall,,
SPEAKER QUICK PANEL,Quick Panel,Speaker Wall — publish speaker,Toggle Speaker Wall toggle ON,Speaker becomes visible in embed; success toast,,
SPEAKER QUICK PANEL,Quick Panel,Speaker Wall — unpublish: Unpublish only,Toggle Speaker Wall toggle OFF; choose "Unpublish",Speaker removed from wall; card approval status unchanged,,
SPEAKER QUICK PANEL,Quick Panel,Speaker Wall — unpublish: Unpublish & Unapprove,Toggle Speaker Wall toggle OFF; choose "Unpublish & Unapprove",Speaker removed from wall AND card approval revoked,,
SPEAKER QUICK PANEL,Quick Panel,Close panel,Click close or click away from panel,Quick panel closes; speaker list still visible,,
BULK ACTIONS,Bulk Actions,Select all checkbox,Click the select-all checkbox in table header,All visible speakers checked,,
BULK ACTIONS,Bulk Actions,Select individual speakers,Check 2–3 individual speaker checkboxes,Only those speakers selected; bulk action bar appears,,
BULK ACTIONS,Bulk Actions,Bulk approve cards,Select speakers and click Approve Cards,All selected speakers' cards marked as approved; success toast,,
BULK ACTIONS,Bulk Actions,Bulk publish speakers,Select speakers and click Publish,All selected speakers published to wall; success toast,,
BULK ACTIONS,Bulk Actions,Bulk email — progress bar shows,Select speakers and click Send Email,Email composer opens; on send; progress bar shows delivery progress,,
BULK ACTIONS,Bulk Actions,Bulk email — cancel mid-send,Start bulk email send and click Cancel,Send stops; progress bar dismissed; partial sends noted,,
PER-SPEAKER MENU,Speaker Row Menu,Edit speaker,Click three-dot menu → Edit,Opens speaker edit form or quick-panel edit mode,,
PER-SPEAKER MENU,Speaker Row Menu,Send reminder email,Click three-dot menu → Send Reminder,Email composer opens pre-filled for this speaker,,
PER-SPEAKER MENU,Speaker Row Menu,View full profile,Click three-dot menu → View Full Profile,Navigates to /organizer/event/:id/speakers/:speakerId,,
PER-SPEAKER MENU,Speaker Row Menu,Archive speaker,Click three-dot menu → Archive,Speaker moved to archived; removed from active list,,
PER-SPEAKER MENU,Speaker Row Menu,Unarchive speaker,With archived filter; click three-dot menu → Unarchive,Speaker restored to active list,,
PER-SPEAKER MENU,Speaker Row Menu,Delete speaker — confirmation dialog,Click three-dot menu → Delete,Confirmation dialog with speaker name shown,,
PER-SPEAKER MENU,Speaker Row Menu,Delete speaker — confirm,Confirm deletion in dialog,Speaker permanently deleted; removed from list; success toast,,
PER-SPEAKER MENU,Speaker Row Menu,Delete speaker — cancel,Click Cancel in delete dialog,Dialog closes; speaker not deleted,,
APPLICATIONS TAB,Applications Tab,Tab loads,Click Applications tab in Speaker Module,Applications tab loads showing table of submissions,,
APPLICATIONS TAB,Applications Tab,Status badges display correctly,View applications list,Each application shows correct status badge (Pending / Submitted / Approved / Rejected),,
APPLICATIONS TAB,Applications Tab,Edit Call-for-Speakers Form,Click "Edit Application Form" button,Navigates to form builder for call-for-speakers form,,
APPLICATIONS TAB,Applications Tab,Copy form link,Click Copy Link button,Form URL copied to clipboard; "Copied!" feedback shown,,
APPLICATIONS TAB,Email Composer,Approval email — open composer,Click send approval email action on an application,Email composer opens with approval template pre-loaded,,
APPLICATIONS TAB,Email Composer,Rejection email — open composer,Click send rejection email action on an application,Email composer opens with rejection template pre-loaded,,
APPLICATIONS TAB,Email Composer,Customise subject / body,Edit subject and body fields in email composer,Fields accept input; preview updates,,
APPLICATIONS TAB,Email Composer,Copy email HTML,Click copy on email composer,Email HTML copied to clipboard,,
SPEAKER WALL TAB,Speaker Wall Tab,Tab loads,Click Speaker Wall tab in Speaker Module,Tab loads with live embed preview and controls sidebar,,
SPEAKER WALL TAB,Setup Wizard,Setup wizard on first visit,Visit Speaker Wall tab for the first time on an event,Setup wizard / onboarding dialog appears,,
SPEAKER WALL TAB,Setup Wizard,Complete setup wizard,Step through the wizard and confirm,Wizard closes; embed settings applied; not shown again,,
SPEAKER WALL TAB,Layout Controls,Desktop columns — 1 column,Set desktop column picker to 1,Embed preview updates to 1-column grid,,
SPEAKER WALL TAB,Layout Controls,Desktop columns — 6 columns,Set desktop column picker to 6,Embed preview updates to 6-column grid,,
SPEAKER WALL TAB,Layout Controls,Mobile columns — 1 column,Set mobile column picker to 1,Mobile preview updates accordingly,,
SPEAKER WALL TAB,Layout Controls,Mobile columns — 2 columns,Set mobile column picker to 2,Mobile preview updates to 2-column grid,,
SPEAKER WALL TAB,Layout Controls,Zoom picker,Select each zoom option (30% – 80%),Preview scales accordingly,,
SPEAKER WALL TAB,Layout Controls,Background colour picker,Change background colour,Embed preview background updates in real time,,
SPEAKER WALL TAB,Visibility,Toggle individual speaker off,Uncheck a speaker in the visibility list,Speaker disappears from embed preview,,
SPEAKER WALL TAB,Visibility,Toggle individual speaker on,Re-check a hidden speaker,Speaker reappears in embed preview,,
SPEAKER WALL TAB,Copy Codes,Copy iframe code,Click "Copy" on the iframe code block,Iframe embed code copied to clipboard; "Copied!" feedback,,
SPEAKER WALL TAB,Copy Codes,Copy autoresize HTML,Click "Copy" on the autoresize code block,HTML with autoresize script copied to clipboard,,
SPEAKER WALL TAB,Copy Codes,Copy direct URL,Click "Copy" on the URL,Embed URL copied to clipboard,,
SPEAKER PORTAL,Speaker Portal,Full-page opens from speaker row,Click View Full Profile or speaker name,Full-page speaker portal loads with sticky h-14 header,,
SPEAKER PORTAL,Speaker Portal,Back button navigates correctly,Click ArrowLeft back button in header,Returns to previous page (speaker list); no hardcoded URL,,
SPEAKER PORTAL,Speaker Portal,Header shows correct names,Open any speaker portal,Header shows "Seamless | [Module]" wordmark and speaker name truncated after separator,,
SPEAKER PORTAL,Speaker Portal,4 tabs visible,Open speaker portal,Info / Speaker Card / Social Card / Content tabs all visible,,
SPEAKER PORTAL,Speaker Portal,Tab URL-driven navigation,Click each tab,URL updates to reflect active tab; page does not fully reload,,
INFO TAB,Info Tab,Speaker details displayed,Open Info tab,All saved speaker fields shown (name / email / title / company / LinkedIn / talk title / bio / headshot),,
INFO TAB,Info Tab,Edit mode toggle,Click Edit button,Form fields become editable,,
INFO TAB,Info Tab,Edit first/last name,In edit mode; change first and last name,Fields accept input,,
INFO TAB,Info Tab,Edit email,In edit mode; change email,Field accepts valid email format,,
INFO TAB,Info Tab,Edit title and company,In edit mode; update title and company,Fields accept input,,
INFO TAB,Info Tab,Edit LinkedIn URL,In edit mode; enter LinkedIn URL,Field accepts URL format,,
INFO TAB,Info Tab,Edit talk title,In edit mode; update talk title,Field accepts input,,
INFO TAB,Info Tab,Edit bio,In edit mode; update bio text,Textarea accepts input,,
INFO TAB,Info Tab,Headshot upload,Click headshot upload area and select image,Image uploads and crop dialog opens,,
INFO TAB,Info Tab,Headshot crop,In crop dialog; adjust crop and confirm,Cropped headshot saved and displayed in portal,,
INFO TAB,Info Tab,Save changes,Make edits and click Save,Changes persisted; success toast shown; edit mode exits,,
INFO TAB,Info Tab,Unsaved changes — back navigation,Make edits without saving; click back button,UnsavedChangesDialog appears with Save / Discard / Keep Editing,,
INFO TAB,Info Tab,Unsaved changes — Save,In UnsavedChangesDialog click Save,Changes saved; navigates away,,
INFO TAB,Info Tab,Unsaved changes — Discard,In UnsavedChangesDialog click Discard,Changes discarded; navigates away,,
INFO TAB,Info Tab,Unsaved changes — Keep Editing,In UnsavedChangesDialog click Keep Editing,Dialog closes; stays on Info tab with edits intact,,
SPEAKER CARD TAB,Speaker Card Tab,Card preview loads,Click Speaker Card tab,Speaker card preview renders (from API embed endpoint),,
SPEAKER CARD TAB,Speaker Card Tab,Approve button disabled without headshot,Open Speaker Card tab for speaker with no headshot,Approve button is disabled,,
SPEAKER CARD TAB,Speaker Card Tab,Approve button enabled with headshot,Open Speaker Card tab for speaker with a headshot,Approve button is enabled,,
SPEAKER CARD TAB,Speaker Card Tab,Approve card — confirmation,Click Approve; confirm in dialog,Card status updated to Approved; badge shown; toast,,
SPEAKER CARD TAB,Speaker Card Tab,Unapprove card,Click Unapprove on an approved card,Card status reverted to unapproved; badge updates,,
SPEAKER CARD TAB,Speaker Card Tab,Approve and Publish,Click "Approve & Publish" button,Card approved AND speaker published to Speaker Wall in one action,,
SPEAKER CARD TAB,Speaker Card Tab,Download card,Click Download button,Card opens in new browser tab (HTML),,
SOCIAL CARD TAB,Social Card Tab,Card preview loads,Click Social Card tab,Social card preview renders from API,,
SOCIAL CARD TAB,Social Card Tab,Approve card,Click Approve; confirm,Card marked as approved; badge updates,,
SOCIAL CARD TAB,Social Card Tab,Unapprove card,Click Unapprove on an approved social card,Card status reverted; badge updates,,
SOCIAL CARD TAB,Social Card Tab,Download card,Click Download,Card opens in new tab,,
CONTENT TAB,Content Tab,Content list loads,Click Content tab,List of uploaded content items shown (or empty state),,
CONTENT TAB,Content Tab,Upload new content,Click Upload and select a file,File uploads; appears in content list with name and file type,,
CONTENT TAB,Content Tab,Replace with new version,Click Replace on a content item and upload new file,New version uploaded; version number increments; previous version in history,,
CONTENT TAB,Content Tab,Version history visible,Click history icon on a content item,Previous versions listed with dates,,
CONTENT TAB,Content Tab,Download individual file,Click Download on a content item,File downloads to local machine,,
CONTENT TAB,Content Tab,Archive content item,Click Archive on a content item,Item moved to archived state; hidden from default view,,
CONTENT TAB,Content Tab,Restore archived content,View archived items; click Restore,Item returned to active list,,
CONTENT TAB,Content Tab,Bulk download as ZIP,Select multiple items and click Bulk Download,ZIP file containing selected files downloaded,,
FORM BUILDER,Intake Form Builder,Full-page opens,Click "Edit Intake Form" from Speakers tab,Form builder opens in full-page view with sticky header,,
FORM BUILDER,Intake Form Builder,Add text field,Click Add Field → Text,New text field added to form; label editable,,
FORM BUILDER,Intake Form Builder,Add email field,Click Add Field → Email,Email field added; validates email format in intake form,,
FORM BUILDER,Intake Form Builder,Add textarea field,Click Add Field → Textarea,Textarea field added,,
FORM BUILDER,Intake Form Builder,Add file upload field,Click Add Field → File Upload,File upload field added; file type options selectable,,
FORM BUILDER,Intake Form Builder,Add checkbox field,Click Add Field → Checkbox,Checkbox field added; options editable,,
FORM BUILDER,Intake Form Builder,Add radio field,Click Add Field → Radio,Radio field added; options editable,,
FORM BUILDER,Intake Form Builder,Mark field as required,Toggle required on a field,Field marked required; shown with required indicator,,
FORM BUILDER,Intake Form Builder,Mark field as optional,Toggle required off on a required field,Field marked optional,,
FORM BUILDER,Intake Form Builder,Reorder fields,Drag a field to a new position,Field order updates in builder,,
FORM BUILDER,Intake Form Builder,Delete field,Click Delete on a field,Field removed from form,,
FORM BUILDER,Intake Form Builder,Save form,Click Save,Form config saved; success feedback shown,,
FORM BUILDER,Intake Form Builder,Unsaved changes on back navigation,Make changes without saving; click back,UnsavedChangesDialog appears,,
FORM BUILDER,Application Form Builder,Same field options as Intake Form,Open application form builder,All same field types available as in Intake Form builder,,
FORM BUILDER,Application Form Builder,Save form,Click Save,Application form config saved,,
FORM BUILDER,Application Form Builder,Copy form link,Click Copy Link,Public call-for-speakers URL copied to clipboard,,
WEBSITE CARD BUILDER,Card Builder,Full-screen loads,Navigate to /organizer/event/:id/website-card-builder,Full-screen card builder opens; no outer navigation chrome,,
WEBSITE CARD BUILDER,Onboarding Modal,Onboarding shown on first visit,Open card builder for the first time (clear localStorage),4-step onboarding modal appears,,
WEBSITE CARD BUILDER,Onboarding Modal,Complete onboarding (all 4 steps),Step through onboarding and finish,Modal closes; builder ready; not shown again on next visit,,
WEBSITE CARD BUILDER,Onboarding Modal,Dismiss onboarding early,Click skip/close on onboarding modal,Modal closes; builder usable,,
WEBSITE CARD BUILDER,Templates — Square,Square Overlay template,Select Square → Overlay,Canvas updates to 600×600 Overlay layout; preview shows sample data,,
WEBSITE CARD BUILDER,Templates — Square,Square Headline template,Select Square → Headline,Canvas updates to 600×600 Headline layout,,
WEBSITE CARD BUILDER,Templates — Square,Square Spotlight template,Select Square → Spotlight,Canvas updates to 600×600 Spotlight layout,,
WEBSITE CARD BUILDER,Templates — Landscape,Landscape Overlay template,Select Landscape → Overlay,Canvas updates to 900×600 Overlay layout,,
WEBSITE CARD BUILDER,Templates — Landscape,Landscape Side by Side template,Select Landscape → Side by Side,Canvas updates to 900×600 Side by Side layout,,
WEBSITE CARD BUILDER,Templates — Landscape,Landscape Editorial template,Select Landscape → Editorial,Canvas updates to 900×600 Editorial layout,,
WEBSITE CARD BUILDER,Templates — Portrait,Portrait Overlay template,Select Portrait → Overlay,Canvas updates to 600×800 Overlay layout,,
WEBSITE CARD BUILDER,Templates — Portrait,Portrait Spotlight template,Select Portrait → Spotlight,Canvas updates to 600×720 Spotlight layout,,
WEBSITE CARD BUILDER,Templates — Portrait,Portrait Brand Forward template,Select Portrait → Brand Forward,Canvas updates to 600×640 Brand Forward layout,,
WEBSITE CARD BUILDER,Assets,Background image upload,Click background upload; select image,Image uploads; crop dialog opens; applied to canvas background,,
WEBSITE CARD BUILDER,Assets,Background image crop,In crop dialog; adjust and confirm,Cropped background applied to canvas,,
WEBSITE CARD BUILDER,Assets,Headshot upload,Click headshot upload; select image,Headshot image uploaded; crop dialog opens,,
WEBSITE CARD BUILDER,Assets,Headshot crop,Adjust crop and confirm,Cropped headshot applied to canvas headshot element,,
WEBSITE CARD BUILDER,Assets,Company logo upload,Click company logo upload; select image,Logo uploaded and applied to canvas,,
WEBSITE CARD BUILDER,Assets,Event logo upload,Click event logo upload; select image,Event logo uploaded and applied to canvas,,
WEBSITE CARD BUILDER,Text Editing,Edit text element,Double-click or select a text element on canvas,Text becomes editable in place or via sidebar,,
WEBSITE CARD BUILDER,Text Editing,Change font family,Select text element; change font in sidebar,Font updates on canvas,,
WEBSITE CARD BUILDER,Text Editing,Change font size,Select text element; adjust size control,Font size updates on canvas,,
WEBSITE CARD BUILDER,Text Editing,Change font colour,Select text element; open colour picker; select colour,Text colour updates on canvas,,
WEBSITE CARD BUILDER,Text Editing,Bold toggle,Select text; click Bold,Text becomes bold on canvas,,
WEBSITE CARD BUILDER,Text Editing,Italic toggle,Select text; click Italic,Text becomes italic,,
WEBSITE CARD BUILDER,Text Editing,Underline toggle,Select text; click Underline,Text becomes underlined,,
WEBSITE CARD BUILDER,Background,Gradient controls — add gradient,Open gradient panel; select direction and style,Gradient overlay applied to canvas,,
WEBSITE CARD BUILDER,Background,Gradient controls — adjust opacity,Adjust gradient opacity slider,Gradient opacity updates on canvas,,
WEBSITE CARD BUILDER,Background,Reset gradient,Click Reset Gradient,Gradient removed from canvas; background returns to flat,,
WEBSITE CARD BUILDER,Background,Background colour (no image),Open background colour picker; select a colour,Canvas background set to solid colour,,
WEBSITE CARD BUILDER,Canvas Interactions,Drag element,Click and drag an element on canvas,Element moves to new position,,
WEBSITE CARD BUILDER,Canvas Interactions,Resize element,Select element and drag resize handle,Element resizes correctly,,
WEBSITE CARD BUILDER,Canvas Interactions,Delete element,Select element and press Delete or click delete icon,Element removed from canvas,,
WEBSITE CARD BUILDER,Canvas Interactions,Undo (Ctrl+Z),Make a change then press Ctrl+Z,Last action undone; canvas reverts,,
WEBSITE CARD BUILDER,Canvas Interactions,Redo (Ctrl+Y),After undo; press Ctrl+Y,Undone action reapplied,,
WEBSITE CARD BUILDER,Canvas Interactions,Zoom in,Click zoom in button,Canvas zooms in,,
WEBSITE CARD BUILDER,Canvas Interactions,Zoom out,Click zoom out button,Canvas zooms out,,
WEBSITE CARD BUILDER,Layer Panel,Reorder layers,Drag a layer up/down in the layer panel,Canvas element order updates,,
WEBSITE CARD BUILDER,Layer Panel,Lock element,Click lock on a layer item,Element locked; cannot be selected/dragged on canvas,,
WEBSITE CARD BUILDER,Layer Panel,Unlock element,Click unlock on a locked layer item,Element becomes interactive again,,
WEBSITE CARD BUILDER,Save,Save card config,Click Save button,Card config saved to backend; post-save dialog appears with next steps,,
WEBSITE CARD BUILDER,Save,Post-save dialog next steps,View post-save dialog,Next step CTAs visible (e.g. go to speakers / approve cards),,
WEBSITE CARD BUILDER,Navigation,Back with unsaved changes,Make changes without saving; click back button,UnsavedChangesDialog appears,,
WEBSITE CARD BUILDER,Navigation,Back after saving,Save then click back,Returns to previous page with no unsaved changes warning,,
SOCIAL CARD BUILDER,Social Card Builder,Full-screen loads,Navigate to /organizer/event/:id/promo-card-builder,Full-screen social card builder opens,,
SOCIAL CARD BUILDER,Social Card Builder,Template picker loads,Open social card builder,Template options visible for promo card shapes,,
SOCIAL CARD BUILDER,Social Card Builder,Select a template,Click a template option,Canvas updates to selected template layout,,
SOCIAL CARD BUILDER,Social Card Builder,Canvas controls work,Test background / text / asset upload controls,Same controls as website builder function correctly,,
SOCIAL CARD BUILDER,Social Card Builder,Save,Click Save,Social card config saved to backend,,
EVENT SETTINGS,Event Settings,Page loads with current values,Navigate to event settings,All fields pre-populated with saved event data,,
EVENT SETTINGS,Event Settings,Edit event title,Change the event title field,Field accepts new input,,
EVENT SETTINGS,Event Settings,Edit start date,Change start date,Date picker updates; new date shown,,
EVENT SETTINGS,Event Settings,Edit end date,Change end date,Date picker updates,,
EVENT SETTINGS,Event Settings,Edit location,Update location field,Field accepts input,,
EVENT SETTINGS,Event Settings,Edit website URL,Update website URL field,Field accepts URL input,,
EVENT SETTINGS,Event Settings,Edit From Name,Update From Name in email settings,Field accepts input,,
EVENT SETTINGS,Event Settings,Edit From Email,Update From Email,Field accepts valid email,,
EVENT SETTINGS,Event Settings,Edit Reply-To Email,Update Reply-To Email,Field accepts valid email; defaults to From Email if blank,,
EVENT SETTINGS,Event Settings,Save changes,Click Save Changes after editing any field,Changes saved; success toast shown; fields persist on refresh,,
EVENT SETTINGS,Event Settings,Cancel discards changes,Make edits then click Cancel,Edits discarded; fields revert to last saved values,,
EVENT SETTINGS,Billing,Billing section visible,Scroll to billing section in settings,Billing section rendered with payment status and action buttons,,
EVENT SETTINGS,Billing,Billing Portal button,Click Billing Portal button,Opens Stripe billing portal in new tab,,
ORGANIZER SETTINGS,Organiser Settings,Page loads,Navigate to /organizer/settings,Settings page loads with profile info and team section,,
ORGANIZER SETTINGS,Organiser Settings,Inline name edit,Click Edit next to name field,Name field becomes editable input,,
ORGANIZER SETTINGS,Organiser Settings,Save name change,Edit name and click Save,New name saved; field returns to display mode; updates reflected,,
ORGANIZER SETTINGS,Organiser Settings,Cancel name edit,Click Cancel while editing name,Name reverts to previous value; no change saved,,
ORGANIZER SETTINGS,Organiser Settings,Email is read-only,Attempt to edit email field,Field cannot be edited,,
ORGANIZER SETTINGS,Organiser Settings,Billing Portal button,Click Billing Portal,Opens Stripe billing portal in new tab,,
ORGANIZER SETTINGS,Team Section,View teams,Open settings; scroll to team section,Teams list visible,,
ORGANIZER SETTINGS,Team Section,Create a new team,Fill team name and click Create,New team created and appears in team list,,
ORGANIZER SETTINGS,Team Section,Invite a teammate,Enter email and send invite,Invite sent; success feedback shown,,
INTAKE FORM (PUBLIC),Speaker Intake Form,Form loads for valid event,Navigate to /speaker-intake/:eventId,Form loads with correct event branding and configured fields,,
INTAKE FORM (PUBLIC),Speaker Intake Form,Required field validation,Submit form with required fields empty,Validation errors shown on empty required fields; form does not submit,,
INTAKE FORM (PUBLIC),Speaker Intake Form,Email format validation,Enter invalid email in email field,Inline error shown; form does not submit,,
INTAKE FORM (PUBLIC),Speaker Intake Form,Text field max length (250),Enter text > 250 characters in a text field,Input capped or error shown at 250 characters,,
INTAKE FORM (PUBLIC),Speaker Intake Form,Textarea min length (10),Enter fewer than 10 characters in a textarea field,Validation error shown on submit,,
INTAKE FORM (PUBLIC),Speaker Intake Form,Headshot upload,Click headshot upload and select an image,Image uploads; crop dialog opens,,
INTAKE FORM (PUBLIC),Speaker Intake Form,Headshot crop,Adjust crop in dialog and confirm,Cropped headshot shown in form,,
INTAKE FORM (PUBLIC),Speaker Intake Form,Company logo upload (if enabled),Click company logo upload and select an image,Logo uploaded and shown in form,,
INTAKE FORM (PUBLIC),Speaker Intake Form,Custom text fields render,View form with custom text fields configured,Custom fields shown with correct labels,,
INTAKE FORM (PUBLIC),Speaker Intake Form,Custom file upload field,Upload a file via a custom file upload field,File accepted; shown as uploaded in form,,
INTAKE FORM (PUBLIC),Speaker Intake Form,Custom radio/checkbox fields,Interact with custom radio or checkbox fields,Options selectable; selection state correct,,
INTAKE FORM (PUBLIC),Speaker Intake Form,Submit creates speaker record,Fill all required fields and submit,Speaker record created; success state shown to user,,
INTAKE FORM (PUBLIC),Speaker Intake Form,Success state after submit,Complete and submit form,Confirmation message shown; no further form submission possible,,
CALL FOR SPEAKERS (PUBLIC),Application Form,Form loads for valid event,Navigate to /call-for-speakers/:eventId,Form loads with configured fields for this event,,
CALL FOR SPEAKERS (PUBLIC),Application Form,Same field types as intake form,Compare available field types in form,All same field types available (text / email / textarea / file / radio / checkbox),,
CALL FOR SPEAKERS (PUBLIC),Application Form,Submit creates application,Fill all required fields and submit,Application created; speaker record created; success state shown,,
CALL FOR SPEAKERS (PUBLIC),Application Form,Success state after submit,Complete and submit,Confirmation message displayed,,
SPEAKER DASHBOARD (SPEAKER-FACING),Speaker Dashboard,Auth required,Navigate to /speaker/event/:id without logging in,Redirected to login,,
SPEAKER DASHBOARD (SPEAKER-FACING),Speaker Dashboard,Dashboard loads after magic link login,Speaker clicks magic link from intake email and logs in,Speaker dashboard loads showing their portal,,
SPEAKER DASHBOARD (SPEAKER-FACING),Speaker Dashboard,Info tab — view details,Open Info tab as speaker,Speaker's own submitted details shown,,
SPEAKER DASHBOARD (SPEAKER-FACING),Speaker Dashboard,Info tab — editable by speaker,Click Edit in Info tab,Speaker can update their own details,,
SPEAKER DASHBOARD (SPEAKER-FACING),Speaker Dashboard,Save info changes as speaker,Edit and save,Changes saved; success feedback shown,,
SPEAKER DASHBOARD (SPEAKER-FACING),Speaker Dashboard,Speaker Card tab — view card,Click Speaker Card tab,Speaker sees their card preview,,
SPEAKER DASHBOARD (SPEAKER-FACING),Speaker Dashboard,Social Card tab — view card,Click Social Card tab,Speaker sees their social card preview,,
